,ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME,RISK_RATING,NEW_RISK,SUPER_RISK,VEHICLE_RELATIONSHIP_2015,CAUTION_FLAG
15,906223,26-39,female,majority,0-9y,high school,upper class,0.762797941,0,after 2015,1,0,10238,,sedan,0,0,0,0,1,0,0,after,green
16,517747,65+,male,majority,30y+,university,upper class,0.796174846,1,before 2015,1,1,32765,,sedan,10,2,1,0,1,20,20,before,amber
17,24851,16-25,male,majority,0-9y,none,poverty,,0,before 2015,1,0,32765,12000.0,sedan,0,0,0,1,1,0,0,before,green
18,104086,26-39,female,majority,0-9y,university,upper class,0.68059428,1,before 2015,0,1,32765,,sedan,0,0,0,1,1,0,0,before,green
19,240658,16-25,female,majority,0-9y,high school,working class,0.417713982,1,before 2015,0,1,10238,18000.0,sedan,0,0,0,1,1,0,0,before,green
20,484399,16-25,female,majority,0-9y,high school,working class,0.409513531,0,before 2015,0,0,10238,17000.0,sedan,0,0,0,1,1,0,0,before,green
21,912828,16-25,male,majority,0-9y,high school,middle class,0.553260053,1,after 2015,1,1,32765,8000.0,sedan,0,0,0,1,1,0,0,after,green
22,892754,40-64,male,majority,20-29y,none,poverty,0.330950262,1,before 2015,1,1,10238,13000.0,sedan,3,1,1,0,1,6,6,before,amber
23,217,16-25,male,majority,0-9y,none,poverty,,0,before 2015,0,0,10238,17000.0,sedan,0,0,0,0,1,0,0,before,green
24,633896,65+,male,majority,30y+,high school,upper class,0.50063066,1,before 2015,1,1,32765,7000.0,sedan,13,2,3,0,1,26,26,before,red
25,193110,26-39,female,majority,10-19y,university,middle class,0.551970181,1,before 2015,1,0,10238,14000.0,sports car,0,0,0,0,2,0,0,before,green
26,98515,40-64,male,majority,10-19y,high school,middle class,0.62699605,1,before 2015,0,0,10238,13000.0,sedan,1,1,0,0,1,2,2,before,green
27,165623,26-39,male,majority,10-19y,none,poverty,0.294797481,1,before 2015,1,0,10238,15000.0,sedan,0,0,1,0,1,0,0,before,amber
28,493590,26-39,male,majority,10-19y,university,middle class,0.551950495,0,after 2015,0,0,10238,17000.0,sedan,0,0,1,0,1,0,0,after,amber
29,389792,65+,male,majority,0-9y,university,upper class,0.649820471,1,after 2015,1,1,32765,9000.0,sedan,0,0,0,1,1,0,0,after,green
30,642614,40-64,male,majority,20-29y,high school,middle class,0.521804435,1,after 2015,1,1,92101,7000.0,sedan,2,0,1,0,1,4,4,after,amber
31,951465,65+,female,majority,30y+,university,upper class,0.701268324,1,before 2015,1,1,10238,10000.0,sedan,3,1,1,0,1,6,6,before,amber
32,496987,16-25,male,majority,0-9y,none,poverty,0.171244029,1,before 2015,1,1,10238,9000.0,sedan,0,0,0,0,1,0,0,before,green
33,732437,16-25,male,majority,0-9y,none,poverty,0.318441997,1,before 2015,0,1,32765,10000.0,sedan,0,0,0,1,1,0,0,before,green
34,146897,26-39,female,majority,0-9y,high school,middle class,0.60468427,1,before 2015,1,1,21217,11000.0,sedan,0,0,0,1,1,0,0,before,green
35,316173,16-25,male,majority,0-9y,university,working class,0.504994853,0,after 2015,0,0,32765,8000.0,sedan,0,0,0,1,1,0,0,after,green
36,9013,26-39,male,majority,10-19y,high school,working class,0.625146635,1,before 2015,0,1,10238,17000.0,sedan,3,0,2,0,1,6,6,before,amber
37,511757,40-64,female,majority,10-19y,none,middle class,,1,before 2015,1,1,10238,11000.0,sedan,2,0,1,0,1,4,4,before,amber
38,429947,65+,male,majority,30y+,university,upper class,,0,after 2015,0,1,10238,12000.0,sports car,6,0,5,0,2,24,24,after,pirate
39,485660,40-64,male,majority,10-19y,university,upper class,0.578130587,1,before 2015,0,1,92101,14000.0,sedan,1,0,1,0,1,2,2,before,amber
40,80496,65+,male,majority,30y+,high school,upper class,0.70545429,1,before 2015,1,1,10238,10000.0,sedan,5,1,3,0,1,10,10,before,red
41,478336,40-64,male,majority,20-29y,university,upper class,0.659525491,1,after 2015,0,1,10238,16000.0,sedan,4,0,2,0,1,8,8,after,amber
42,10843,40-64,male,majority,20-29y,university,upper class,0.587383612,0,after 2015,1,1,32765,9000.0,sedan,10,2,0,0,1,20,20,after,green
43,397446,16-25,male,majority,0-9y,none,poverty,0.406482425,0,before 2015,0,0,10238,16000.0,sedan,0,0,0,1,1,0,0,before,green
44,101678,26-39,female,majority,10-19y,high school,poverty,0.285747132,0,before 2015,0,1,10238,13000.0,sedan,1,0,0,1,1,2,2,before,green
45,231661,40-64,male,majority,20-29y,high school,middle class,0.502284965,0,before 2015,0,0,10238,14000.0,sports car,3,0,4,0,2,12,12,before,red
46,173782,65+,male,majority,20-29y,high school,upper class,0.625625721,1,after 2015,1,1,10238,7000.0,sedan,7,0,5,0,1,14,14,after,pirate
47,921097,40-64,female,majority,20-29y,university,upper class,,1,after 2015,1,1,92101,11000.0,sedan,3,0,2,0,1,6,6,after,amber
48,98839,26-39,female,minority,10-19y,university,working class,0.39315313,1,before 2015,0,1,32765,12000.0,sedan,1,0,0,0,1,2,2,before,green
49,105372,26-39,female,minority,10-19y,none,working class,0.50394976,0,before 2015,0,1,10238,14000.0,sedan,1,0,0,0,1,2,2,before,green
50,888828,40-64,male,majority,20-29y,university,upper class,0.65862743,1,before 2015,1,0,10238,14000.0,sedan,3,0,2,0,1,6,6,before,amber
51,37454,26-39,female,majority,0-9y,high school,working class,0.524146466,0,before 2015,0,0,10238,17000.0,sedan,0,0,0,1,1,0,0,before,green
52,370044,65+,male,majority,20-29y,university,upper class,0.553100757,0,after 2015,1,1,32765,7000.0,sedan,9,0,1,0,1,18,18,after,amber
53,768282,16-25,female,majority,0-9y,university,working class,0.447550949,0,before 2015,1,1,10238,8000.0,sedan,0,0,0,1,1,0,0,before,green
54,738729,16-25,female,majority,0-9y,none,working class,0.510733137,1,before 2015,1,1,10238,7000.0,sedan,0,0,0,1,1,0,0,before,green
55,437535,26-39,female,majority,10-19y,high school,middle class,,1,after 2015,1,0,10238,15000.0,sedan,0,0,0,0,1,0,0,after,green
56,329536,16-25,female,majority,0-9y,high school,poverty,0.461373592,0,before 2015,0,0,32765,9000.0,sedan,0,0,0,1,1,0,0,before,green
57,328531,40-64,female,majority,20-29y,university,middle class,0.387556944,0,after 2015,0,1,32765,12000.0,sedan,2,0,1,0,1,4,4,after,amber
58,123941,40-64,female,majority,20-29y,university,middle class,0.570157226,1,after 2015,1,1,10238,,sedan,0,0,0,0,1,0,0,after,green
59,131881,26-39,male,majority,10-19y,university,working class,0.550125088,1,before 2015,0,0,10238,16000.0,sedan,0,1,0,0,1,0,0,before,green
60,839572,40-64,male,majority,20-29y,high school,working class,0.452944232,0,before 2015,1,1,10238,12000.0,sedan,3,0,1,0,1,6,6,before,amber
61,171578,26-39,male,majority,10-19y,university,upper class,,1,before 2015,1,1,10238,8000.0,sedan,2,0,1,0,1,4,4,before,amber
62,589757,40-64,female,majority,20-29y,high school,upper class,0.53527431,1,before 2015,1,1,92101,7000.0,sedan,2,0,0,0,1,4,4,before,green
63,336859,16-25,female,majority,0-9y,university,middle class,0.614735949,1,before 2015,0,1,10238,15000.0,sedan,0,0,0,1,1,0,0,before,green
64,788111,40-64,female,minority,20-29y,high school,poverty,0.454447156,1,before 2015,1,1,10238,,sedan,1,0,1,0,1,2,2,before,amber
65,407453,40-64,female,majority,0-9y,university,upper class,0.613740918,1,before 2015,0,0,10238,,sedan,0,0,0,0,1,0,0,before,green
66,367026,40-64,female,minority,10-19y,high school,working class,0.532661328,1,before 2015,1,1,10238,11000.0,sedan,0,0,0,0,1,0,0,before,green
67,334687,40-64,female,minority,0-9y,university,middle class,0.427728514,1,before 2015,0,0,10238,15000.0,sedan,0,0,0,1,1,0,0,before,green
68,623367,65+,male,majority,20-29y,university,upper class,0.685945721,1,before 2015,1,1,32765,5000.0,sedan,4,1,4,0,1,8,8,before,red
69,688440,65+,male,majority,10-19y,university,upper class,0.693612427,1,before 2015,1,1,10238,10000.0,sedan,2,0,0,0,1,4,4,before,green
70,547974,65+,male,majority,20-29y,high school,upper class,0.597990596,0,before 2015,1,1,10238,12000.0,sedan,2,1,7,1,1,4,4,before,pirate
71,989064,26-39,male,majority,0-9y,none,poverty,0.330818666,0,after 2015,1,1,10238,12000.0,sedan,0,0,0,1,1,0,0,after,green
72,422816,40-64,male,majority,20-29y,high school,working class,,1,before 2015,0,0,10238,12000.0,sedan,5,0,7,0,1,10,10,before,pirate
73,307408,26-39,female,minority,10-19y,none,working class,,1,before 2015,0,1,10238,9000.0,sedan,2,0,0,0,1,4,4,before,green
74,675898,16-25,male,majority,0-9y,high school,middle class,0.508304218,1,before 2015,0,1,10238,16000.0,sedan,0,0,0,0,1,0,0,before,green
75,480452,26-39,female,majority,0-9y,university,upper class,0.764132917,1,before 2015,1,1,10238,12000.0,sedan,0,0,0,0,1,0,0,before,green
76,93199,40-64,female,majority,0-9y,university,middle class,0.47751696,1,after 2015,1,1,10238,14000.0,sedan,0,0,0,0,1,0,0,after,green
77,125802,40-64,female,majority,20-29y,university,upper class,0.681233208,1,before 2015,1,1,10238,10000.0,sedan,0,0,1,0,1,0,0,before,amber
78,616663,40-64,male,majority,0-9y,university,upper class,0.467155546,1,after 2015,0,0,10238,16000.0,sedan,0,0,0,0,1,0,0,after,green
79,423497,16-25,female,majority,0-9y,high school,working class,0.394163245,1,before 2015,0,0,10238,16000.0,sedan,0,0,0,1,1,0,0,before,green
80,492837,40-64,female,majority,10-19y,university,upper class,0.661060732,1,after 2015,1,1,10238,14000.0,sedan,0,0,0,0,1,0,0,after,green
81,422563,40-64,male,majority,20-29y,university,upper class,0.665187975,0,before 2015,0,1,10238,14000.0,sedan,2,0,1,0,1,4,4,before,amber
82,185231,16-25,female,majority,0-9y,high school,middle class,0.560770207,1,before 2015,0,1,10238,11000.0,sedan,0,0,0,0,1,0,0,before,green
83,949152,26-39,female,majority,10-19y,university,upper class,0.74543271,0,after 2015,0,0,32765,9000.0,sedan,0,0,0,0,1,0,0,after,green
84,859453,26-39,male,majority,10-19y,university,middle class,0.532574352,1,before 2015,1,1,10238,13000.0,sedan,1,0,2,0,1,2,2,before,amber
85,466578,26-39,female,majority,10-19y,high school,middle class,0.526747339,1,after 2015,0,1,10238,14000.0,sedan,0,0,0,0,1,0,0,after,green
86,998214,16-25,female,minority,0-9y,none,poverty,0.412451746,0,before 2015,0,0,10238,14000.0,sedan,0,0,0,1,1,0,0,before,green
87,828462,40-64,male,majority,20-29y,high school,working class,0.387107145,0,before 2015,0,1,10238,16000.0,sedan,0,0,6,0,1,0,0,before,pirate
88,511837,65+,male,majority,10-19y,high school,middle class,0.549993868,1,before 2015,1,1,32765,9000.0,sedan,3,1,1,0,1,6,6,before,amber
89,554995,16-25,male,majority,0-9y,university,upper class,0.585342095,1,before 2015,1,1,10238,12000.0,sports car,0,0,0,1,2,0,0,before,green
90,680717,65+,male,majority,30y+,none,middle class,0.598739605,1,before 2015,1,1,10238,14000.0,sedan,6,1,3,0,1,12,12,before,red
91,978021,40-64,male,majority,20-29y,university,upper class,0.6026557,1,after 2015,1,1,10238,7000.0,sedan,4,0,6,0,1,8,8,after,pirate
92,509815,26-39,female,majority,0-9y,high school,working class,0.511457058,1,after 2015,1,1,32765,,sedan,0,0,0,0,1,0,0,after,green
93,6676,40-64,female,majority,20-29y,high school,upper class,0.558659174,0,before 2015,0,1,10238,15000.0,sedan,3,0,2,0,1,6,6,before,amber
94,362280,40-64,male,majority,10-19y,high school,working class,0.628407014,0,before 2015,0,0,10238,13000.0,sedan,0,0,0,1,1,0,0,before,green
95,883018,40-64,male,majority,0-9y,high school,working class,0.505790373,1,before 2015,0,1,10238,13000.0,sedan,0,0,0,0,1,0,0,before,green
96,889355,26-39,female,majority,10-19y,university,upper class,0.726818418,1,before 2015,1,1,10238,15000.0,sedan,2,0,0,0,1,4,4,before,green
97,198273,65+,male,majority,20-29y,university,upper class,0.690442334,1,after 2015,1,1,32765,9000.0,sedan,8,0,2,0,1,16,16,after,amber
98,197763,40-64,male,majority,20-29y,university,upper class,0.479677165,0,after 2015,1,0,10238,14000.0,sedan,1,0,2,0,1,2,2,after,amber
99,55670,26-39,male,majority,10-19y,university,upper class,,1,after 2015,1,1,10238,11000.0,sedan,3,1,0,0,1,6,6,after,green
100,545941,40-64,female,majority,20-29y,none,working class,0.440559204,1,after 2015,1,1,10238,11000.0,sedan,1,0,2,0,1,2,2,after,amber
101,814196,16-25,female,majority,0-9y,none,middle class,0.634052597,1,before 2015,0,1,32765,,sedan,0,0,0,1,1,0,0,before,green
102,560160,16-25,female,majority,0-9y,high school,poverty,0.457469588,0,before 2015,0,0,10238,,sedan,0,0,0,0,1,0,0,before,green
103,320444,26-39,male,majority,0-9y,none,poverty,0.308649018,0,before 2015,0,1,10238,14000.0,sedan,0,0,0,0,1,0,0,before,green
104,305793,16-25,male,majority,0-9y,high school,poverty,0.245835185,0,before 2015,1,1,10238,11000.0,sedan,0,0,0,1,1,0,0,before,green
105,362190,16-25,male,majority,0-9y,high school,poverty,0.305646519,0,before 2015,0,0,10238,14000.0,sedan,0,0,0,1,1,0,0,before,green
106,62647,26-39,male,majority,10-19y,high school,upper class,0.744014086,1,before 2015,0,0,10238,13000.0,sedan,2,0,1,0,1,4,4,before,amber
107,296948,40-64,male,majority,10-19y,university,upper class,0.670464547,1,after 2015,1,1,10238,14000.0,sedan,0,0,0,0,1,0,0,after,green
108,673660,65+,female,majority,30y+,high school,upper class,0.683040798,0,after 2015,1,1,10238,10000.0,sedan,4,1,3,0,1,8,8,after,red
109,945867,16-25,male,majority,0-9y,university,middle class,0.828628569,1,before 2015,0,0,10238,13000.0,sedan,0,0,0,1,1,0,0,before,green
110,391880,65+,male,majority,30y+,none,middle class,,1,before 2015,1,1,32765,10000.0,sedan,12,2,2,0,1,24,24,before,amber
111,241973,65+,female,majority,30y+,high school,upper class,0.629338094,1,before 2015,1,0,10238,11000.0,sedan,2,0,2,0,1,4,4,before,amber
112,429503,16-25,male,majority,0-9y,high school,poverty,0.283724211,0,before 2015,0,1,10238,15000.0,sedan,0,0,0,1,1,0,0,before,green
113,810013,16-25,male,majority,0-9y,university,working class,0.457648682,1,after 2015,0,0,10238,14000.0,sports car,0,0,0,1,2,0,0,after,green
114,663458,16-25,female,majority,0-9y,high school,poverty,0.304987642,0,before 2015,0,0,10238,15000.0,sedan,0,0,0,1,1,0,0,before,green
115,879976,16-25,male,majority,0-9y,high school,working class,0.551744288,0,before 2015,1,1,32765,10000.0,sedan,0,0,0,1,1,0,0,before,green
116,418841,16-25,male,minority,0-9y,none,poverty,0.318685556,1,before 2015,1,0,32765,9000.0,sedan,0,0,0,1,1,0,0,before,green
117,542236,26-39,male,minority,10-19y,none,working class,0.436944194,1,before 2015,0,0,10238,12000.0,sedan,3,0,0,0,1,6,6,before,green
118,937573,40-64,male,majority,10-19y,university,upper class,0.629193984,1,before 2015,1,1,32765,7000.0,sedan,5,0,1,0,1,10,10,before,amber
119,670850,16-25,male,majority,0-9y,university,working class,0.405560016,1,before 2015,0,0,10238,17000.0,sedan,0,0,0,1,1,0,0,before,green
120,151252,16-25,male,majority,0-9y,university,middle class,0.623546212,1,before 2015,1,0,10238,11000.0,sedan,0,0,0,0,1,0,0,before,green
121,706349,65+,male,majority,10-19y,university,upper class,0.72703299,1,before 2015,1,1,10238,10000.0,sedan,1,1,2,0,1,2,2,before,amber
122,602998,65+,male,majority,20-29y,none,working class,0.426828389,1,before 2015,1,0,10238,14000.0,sedan,3,1,7,0,1,6,6,before,pirate
123,242772,26-39,female,majority,10-19y,none,middle class,0.50365897,1,before 2015,0,1,10238,10000.0,sedan,1,2,0,0,1,2,2,before,green
124,393449,26-39,female,majority,10-19y,high school,middle class,,0,before 2015,0,0,10238,12000.0,sedan,2,0,0,0,1,4,4,before,green
125,380740,65+,male,majority,30y+,university,upper class,0.726440002,1,after 2015,1,1,10238,7000.0,sedan,2,0,3,0,1,4,4,after,red
126,938115,16-25,female,majority,0-9y,none,poverty,0.244490093,0,before 2015,0,1,32765,,sedan,0,0,0,1,1,0,0,before,green
127,727943,16-25,male,majority,0-9y,university,middle class,0.575770797,1,before 2015,0,0,10238,11000.0,sedan,0,0,0,1,1,0,0,before,green
128,766309,16-25,male,majority,0-9y,high school,poverty,,0,before 2015,0,0,10238,10000.0,sports car,0,0,0,1,2,0,0,before,green
129,261229,16-25,male,majority,0-9y,university,working class,0.468671966,1,after 2015,0,1,32765,9000.0,sedan,0,0,0,1,1,0,0,after,green
130,60866,65+,male,majority,20-29y,university,upper class,0.697083456,0,after 2015,0,1,10238,13000.0,sedan,3,0,2,0,1,6,6,after,amber
131,752797,40-64,female,majority,20-29y,high school,working class,0.542918108,1,before 2015,0,0,10238,15000.0,sedan,1,1,0,0,1,2,2,before,green
132,45002,65+,male,majority,30y+,high school,upper class,0.672256254,1,before 2015,1,1,10238,9000.0,sedan,4,1,2,0,1,8,8,before,amber
133,482448,16-25,male,majority,0-9y,none,poverty,0.386406619,0,before 2015,0,0,32765,8000.0,sedan,0,0,0,1,1,0,0,before,green
134,549142,16-25,male,majority,0-9y,university,middle class,0.551297833,1,before 2015,1,1,10238,12000.0,sedan,0,0,0,1,1,0,0,before,green
135,95138,40-64,male,majority,20-29y,high school,middle class,0.598557025,0,after 2015,1,0,10238,14000.0,sedan,4,1,4,0,1,8,8,after,red
136,851152,26-39,female,majority,10-19y,none,working class,,0,before 2015,1,1,10238,,sedan,0,0,1,0,1,0,0,before,amber
137,615991,40-64,female,majority,20-29y,high school,upper class,0.582421995,1,after 2015,1,1,10238,11000.0,sedan,2,0,1,0,1,4,4,after,amber
138,424820,26-39,female,minority,10-19y,high school,middle class,0.540182723,1,before 2015,1,1,10238,,sedan,0,0,1,0,1,0,0,before,amber
139,807847,65+,male,majority,20-29y,university,upper class,0.633013948,1,after 2015,0,1,10238,14000.0,sedan,3,1,4,0,1,6,6,after,red
140,758983,40-64,male,majority,20-29y,high school,middle class,0.55220463,1,after 2015,1,0,32765,12000.0,sedan,6,0,3,0,1,12,12,after,red
141,987114,26-39,female,majority,0-9y,university,middle class,0.32668161,0,before 2015,0,0,10238,16000.0,sedan,0,0,0,1,1,0,0,before,green
142,873457,40-64,male,minority,20-29y,high school,middle class,0.588082542,1,before 2015,1,1,10238,13000.0,sedan,7,1,1,0,1,14,14,before,amber
143,699703,65+,female,majority,0-9y,university,upper class,0.702274802,0,before 2015,1,1,92101,10000.0,sedan,0,0,0,1,1,0,0,before,green
144,563342,65+,female,majority,0-9y,university,upper class,0.726605539,1,before 2015,0,1,10238,13000.0,sedan,0,0,0,0,1,0,0,before,green
145,504412,26-39,male,majority,10-19y,university,working class,,0,before 2015,1,1,10238,12000.0,sedan,3,2,3,1,1,6,6,before,red
146,284106,65+,male,majority,30y+,university,upper class,0.732382121,1,before 2015,1,1,10238,12000.0,sedan,5,1,5,0,1,10,10,before,pirate
147,78189,16-25,female,majority,0-9y,none,poverty,0.201283921,1,before 2015,0,0,32765,12000.0,sedan,0,0,0,1,1,0,0,before,green
148,427520,26-39,male,majority,10-19y,university,middle class,0.464160708,0,before 2015,0,0,10238,16000.0,sedan,0,1,0,0,1,0,0,before,green
149,689030,40-64,female,majority,20-29y,university,upper class,0.657967743,1,after 2015,1,0,92101,13000.0,sedan,1,0,1,0,1,2,2,after,amber
150,966467,65+,male,majority,30y+,university,upper class,0.600216155,1,before 2015,1,1,10238,13000.0,sedan,5,2,4,0,1,10,10,before,red
151,288712,65+,male,majority,30y+,university,upper class,0.666376018,1,after 2015,1,1,10238,12000.0,sedan,3,0,7,0,1,6,6,after,pirate
152,228114,26-39,male,majority,0-9y,high school,working class,0.40314728,1,before 2015,1,1,10238,10000.0,sedan,0,0,0,0,1,0,0,before,green
153,63715,65+,male,majority,20-29y,university,upper class,0.416935044,1,before 2015,0,1,10238,13000.0,sedan,5,1,5,0,1,10,10,before,pirate
154,624077,65+,female,majority,30y+,none,upper class,0.594879714,1,before 2015,1,1,32765,8000.0,sports car,10,0,1,0,2,40,40,before,amber
155,726352,26-39,male,minority,10-19y,none,poverty,0.380426503,0,before 2015,1,1,10238,16000.0,sedan,1,0,1,0,1,2,2,before,amber
156,150072,16-25,female,majority,0-9y,none,poverty,,0,before 2015,0,0,21217,14000.0,sedan,0,0,0,1,1,0,0,before,green
157,792396,65+,female,majority,30y+,university,upper class,0.680617632,1,before 2015,1,1,10238,12000.0,sedan,1,2,2,0,1,2,2,before,amber
158,768933,40-64,male,minority,0-9y,high school,working class,0.35595047,1,before 2015,0,1,10238,16000.0,sedan,0,0,0,1,1,0,0,before,green
159,452356,40-64,female,majority,10-19y,none,middle class,,1,before 2015,0,1,32765,10000.0,sedan,2,0,0,0,1,4,4,before,green
160,849811,65+,female,minority,30y+,high school,upper class,0.587831426,1,after 2015,1,0,32765,,sports car,3,0,1,0,2,12,12,after,amber
161,579336,65+,female,majority,10-19y,university,upper class,0.573388043,1,after 2015,1,1,10238,10000.0,sedan,0,0,2,0,1,0,0,after,amber
162,648922,16-25,male,majority,0-9y,university,middle class,0.296406283,1,before 2015,0,0,10238,13000.0,sedan,0,0,0,1,1,0,0,before,green
163,47909,65+,male,majority,10-19y,university,upper class,0.429509699,1,before 2015,1,1,10238,10000.0,sedan,1,0,4,0,1,2,2,before,red
164,619577,65+,female,majority,30y+,university,upper class,0.688568719,1,after 2015,0,1,92101,11000.0,sedan,2,0,0,0,1,4,4,after,green
165,212678,65+,female,majority,20-29y,university,upper class,0.700017432,1,after 2015,0,1,32765,13000.0,sedan,1,0,1,0,1,2,2,after,amber
166,579720,26-39,male,majority,10-19y,university,working class,0.449588631,0,before 2015,0,1,10238,,sports car,0,0,1,1,2,0,0,before,amber
167,995884,40-64,female,majority,20-29y,university,upper class,0.690045582,1,after 2015,1,0,10238,11000.0,sedan,2,1,1,0,1,4,4,after,amber
168,226326,40-64,female,minority,10-19y,university,working class,0.496029873,1,after 2015,0,0,10238,13000.0,sedan,0,0,1,0,1,0,0,after,amber
169,943922,26-39,male,majority,10-19y,university,upper class,0.656345763,0,after 2015,1,1,32765,6000.0,sedan,8,0,0,0,1,16,16,after,green
170,510116,40-64,male,majority,0-9y,high school,middle class,0.498356626,1,after 2015,0,1,10238,12000.0,sedan,0,0,0,0,1,0,0,after,green
171,536546,16-25,female,majority,0-9y,university,middle class,0.546382543,1,before 2015,1,1,10238,12000.0,sedan,0,0,0,0,1,0,0,before,green
172,75592,40-64,female,majority,10-19y,high school,working class,0.315862877,1,before 2015,0,1,10238,11000.0,sedan,0,0,1,0,1,0,0,before,amber
173,487116,26-39,male,majority,10-19y,none,working class,0.530064317,1,before 2015,0,0,10238,,sedan,1,0,2,1,1,2,2,before,amber
174,936820,26-39,female,majority,10-19y,high school,working class,0.357839172,1,before 2015,0,1,32765,12000.0,sedan,1,0,0,1,1,2,2,before,green
175,634050,65+,male,majority,10-19y,university,upper class,0.672756053,1,after 2015,1,1,10238,9000.0,sedan,1,0,2,0,1,2,2,after,amber
176,307397,40-64,male,majority,20-29y,university,upper class,0.741999376,1,after 2015,0,1,10238,,sedan,2,0,2,0,1,4,4,after,amber
177,558748,65+,female,majority,30y+,university,upper class,0.622651979,1,after 2015,1,1,10238,11000.0,sedan,1,0,0,0,1,2,2,after,green
178,856630,16-25,female,majority,0-9y,high school,middle class,0.480140668,0,after 2015,0,0,32765,14000.0,sedan,0,0,0,1,1,0,0,after,green
179,200009,65+,male,majority,30y+,university,upper class,0.678795431,1,after 2015,1,1,10238,11000.0,sedan,5,1,3,0,1,10,10,after,red
180,784462,65+,male,majority,30y+,university,upper class,,1,before 2015,1,1,32765,10000.0,sedan,13,1,6,0,1,26,26,before,pirate
181,792252,40-64,female,majority,20-29y,university,upper class,0.515246708,1,after 2015,0,1,10238,12000.0,sedan,2,0,1,0,1,4,4,after,amber
182,462586,26-39,male,majority,10-19y,none,working class,0.489920599,1,before 2015,0,1,10238,13000.0,sedan,3,0,1,0,1,6,6,before,amber
183,577965,65+,male,majority,30y+,high school,middle class,0.421957949,1,before 2015,0,1,10238,11000.0,sedan,4,0,6,0,1,8,8,before,pirate
184,818248,40-64,male,majority,20-29y,university,upper class,0.58435485,1,before 2015,0,0,10238,,sedan,1,0,2,0,1,2,2,before,amber
185,491438,16-25,male,majority,0-9y,none,poverty,,0,before 2015,0,0,10238,9000.0,sedan,0,0,0,1,1,0,0,before,green
186,896587,65+,female,majority,30y+,high school,upper class,0.55815697,1,after 2015,0,1,10238,14000.0,sedan,0,0,0,0,1,0,0,after,green
187,431538,16-25,male,majority,0-9y,high school,poverty,0.194149548,0,before 2015,1,0,10238,12000.0,sports car,0,0,0,1,2,0,0,before,green
188,164516,16-25,male,majority,0-9y,high school,poverty,0.30049733,0,before 2015,0,0,10238,13000.0,sedan,0,0,0,1,1,0,0,before,green
